Balaji Warehousing Co Pvt Ltd,,,,,,,,
"Venkus Sadan ,No.610,  2nd Cross,",,,,,,,,
"Chikkamaranahalli, Off-New BEL Road,",,,,,,,,
Bangalore - 560 094,,,,,,,,
Cash Belgaum  Book,,,,,,,,
,,,,,,,,
,,,,,,,,
1-Apr-2020 to 31-Jan-2021,,,,,,,,
Date,Particulars,,,,Vch Type,Vch No.,Debit,Credit
01-04-2020,Cr,Opening Balance,,,,,1477.00,
01-04-2020,Cr,(as per details),,,Receipt,7,300000.00,
,,K Kodandarami Reddy,,,,,,6375000.00 Cr
,,Cash- Bellary,,,,,450000.00 Dr,
,,Cash- Chennai,,,,,450000.00 Dr,
,,Cash Coimbatore,,,,,70000.00 Dr,
,,Cash Davangere,,,,,350000.00 Dr,
,,Cash- Haveri,,,,,130000.00 Dr,
,,Cash - Hubli,,,,,20000.00 Dr,
,,Cash Koppal,,,,,585000.00 Dr,
,,Cash - Mandya,,,,,160000.00 Dr,
,,Cash-Mysore,,,,,1800000.00 Dr,
,,Cash -Nellore,,,,,150000.00 Dr,
,,Cash - Raichur,,,,,730000.00 Dr,
,,Cash - Tumkur,,,,,450000.00 Dr,
,,Cash- Whitefield,,,,,730000.00 Dr,
,,Being transfer Closing balance on 31.03.20,,,,,,
02-04-2020,Dr,Bgm Fact Ltpt Payable 19-20,,,Payment,108,,9112.00
,,Being amount paid t/w LTPT Charges for  92.500 mts,,,,,,
08-04-2020,Dr,Bgm FACT Gh Expenses,,,Payment,1101,,150.00
,,Being the amount paid towards FACT stock Unloading charges 05.000 mts @ 30/-,,,,,,
08-04-2020,Dr,Bgm Office Maintenence Expenes,,,Payment,1102,,300.00
,,Being the amount paid towards - office electrical repair charges.,,,,,,
09-04-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,146,10000.00,
,,Same Bank Transfer,,09-04-2020,10000.00 Cr,,,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
09-04-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,147,10000.00,
,,Same Bank Transfer,,09-04-2020,10000.00 Cr,,,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
09-04-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,148,10000.00,
,,Same Bank Transfer,,09-04-2020,10000.00 Cr,,,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
09-04-2020,Dr,Bgm FACT Gh Expenses,,,Payment,1238,,300.00
,,Being the amount paid towards FACT stock loading charges 10.000 mts @ 30/-,,,,,,
09-04-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,1239,,150.00
,,Being the amount paid towards GSFL stock  loading charges - 05.000 mts @ Rs.30/-,,,,,,
11-04-2020,Dr,Bgm FACT Gh Expenses,,,Payment,1576,,450.00
,,Being the amount paid towards FACT stock loading charges 15.000 mts @ 30/-,,,,,,
13-04-2020,Dr,Bgm FACT Gh Expenses,,,Payment,1867,,300.00
,,Being the amount paid towards FACT stock loading charges 10.000 mts @ 30/-,,,,,,
14-04-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,2006,,4700.00
,,Being the advance freight amount payable towards FL No:40318,,,,,,
14-04-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,2007,,533.00
,,Being the amount paid towards GSFL stock  loading charges - 17.750 mts @ Rs.30/-,,,,,,
14-04-2020,Dr,Bgm FACT Gh Expenses,,,Payment,2008,,750.00
,,Being the amount paid towards FACT stock loading charges 25.000 mts @ 30/-,,,,,,
14-04-2020,Dr,Bgm Fact Ltpt Payable 19-20,,,Payment,2010,,700.00
,,Being amount paid t/w LTPT Charges Fl No.50092,,,,,,
17-04-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,2441,,4300.00
,,Being the advance freight amount payable towards FL No:40319,,,,,,
17-04-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,2442,,450.00
,,Being the amount paid towards GSFL stock  loading charges - 15.000 mts @ Rs.30/-,,,,,,
17-04-2020,Dr,Bgm FACT Gh Expenses,,,Payment,2443,,750.00
,,Being the amount paid towards FACT stock loading charges 25.000 mts @ 30/-,,,,,,
21-04-2020,Dr,Bgm FACT Gh Expenses,,,Payment,2941,,1200.00
,,Being the amount paid towards FACT stock loading charges 40.000 mts @ 30/-,,,,,,
22-04-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,3136,,4000.00
,,Being the advance freight amount payable towards FL No:40320,,,,,,
22-04-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,3137,,450.00
,,Being the amount paid towards GSFL stock  loading charges - 15.000 mts @ Rs.30/-,,,,,,
22-04-2020,Dr,Bgm FACT Gh Expenses,,,Payment,3138,,450.00
,,Being the amount paid towards FACT stock loading charges 15.000 mts @ 30/-,,,,,,
22-04-2020,Dr,Bgm Pooja Expenses,,,Payment,3139,,220.00
,,Being the amount paid towards Pooja expense,,,,,,
22-04-2020,Dr,Bgm Godown Maintenence Wages,,,Payment,3140,,2000.00
,,Being the amount paid t/w godowns cleaning charges for the month of March-2020,,,,,,
23-04-2020,Dr,Bgm FACT Gh Expenses,,,Payment,3350,,1200.00
,,Being the amount paid towards FACT stock loading charges 40.000 mts @ 30/-,,,,,,
23-04-2020,Dr,Bgm Fact Stand Expense,,,Payment,3351,,1850.00
,,Being the amount paid towards Fact stock rebagging charges 185 bags @ 10/-,,,,,,
24-04-2020,Dr,Bgm FACT Gh Expenses,,,Payment,3476,,1290.00
,,Being the amount paid towards FACT stock loading charges 43.000 mts @ 30/-,,,,,,
24-04-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,3477,,150.00
,,Being the amount paid towards GSFL stock  loading charges - 05.000 mts @ Rs.30/-,,,,,,
25-04-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,3571,,3800.00
,,Being the advance freight amount payable towards FL No:40322,,,,,,
25-04-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,3572,,450.00
,,Being the amount paid towards GSFL stock  loading charges - 15.000 mts @ Rs.30/-,,,,,,
25-04-2020,Dr,Bgm FACT Gh Expenses,,,Payment,3573,,600.00
,,Being the amount paid towards FACT stock loading charges 20.000 mts @ 30/-,,,,,,
25-04-2020,Dr,Bgm Pooja Expenses,,,Payment,3574,,170.00
,,Being the amount paid towards Pooja expense,,,,,,
25-04-2020,Dr,Bgm Godown Maintenence,,,Payment,3575,,306.00
,,Being the amount paid t/w sanitizer &  mask godown purpose,,,,,,
27-04-2020,Dr,Bgm FACT Gh Expenses,,,Payment,3813,,900.00
,,Being the amount paid towards FACT stock loading charges 30.000 mts @ 30/-,,,,,,
27-04-2020,Dr,Bgm Fact Stand Expense,,,Payment,3814,,520.00
,,Being the amount paid towards Fact stock rebagging charges 52 bags @ 10/-,,,,,,
28-04-2020,Dr,Bgm FACT Gh Expenses,,,Payment,3990,,1500.00
,,Being the amount paid towards FACT stock loading charges 50.000 mts @ 30/-,,,,,,
28-04-2020,Dr,Bgm Vehicle Maintenence,,,Payment,3991,,150.00
,,Being the amount paid towards company bike petrol charges KA 22 FT 3248 bill enclosed,,,,,,
29-04-2020,Dr,Bgm FACT Gh Expenses,,,Payment,4278,,1350.00
,,Being the amount paid towards FACT stock loading charges 45.000 mts @ 30/-,,,,,,
30-04-2020,Dr,Bgm Greenstar Stdn Exp,,,Payment,4494,,520.00
,,Being the amount paid t/w GSFL stock rebagging charges 52 bags @ 10/-,,,,,,
30-04-2020,Dr,Bgm Fact Stand Expense,,,Payment,4495,,800.00
,,Being the amount paid towards Fact stock rebagging charges 80 bags @ 10/-,,,,,,
30-04-2020,Dr,Bgm Godown Maintenence,,,Payment,4496,,180.00
,,Being the amount paid t/w thread charges for bags stiching purpose.,,,,,,
30-04-2020,Dr,Bgm Vehicle Maintenence,,,Payment,4497,,220.00
,,Being the amount paid towards company bike petrol charges KA 22 FT 3248 bill enclosed,,,,,,
02-05-2020,Dr,Bgm FACT Gh Expenses,,,Payment,5060,,3390.00
,,Being the amount paid towards FACT stock loading charges 113.000 mts @ 30/-,,,,,,
02-05-2020,Dr,Bgm Pooja Expenses,,,Payment,5061,,170.00
,,Being the amount paid towards Pooja expense,,,,,,
04-05-2020,Dr,Bgm FACT Gh Expenses,,,Payment,5621,,1050.00
,,Being the amount paid towards FACT stock loading charges 35.000 mts @ 30/-,,,,,,
04-05-2020,Dr,Bgm Vehicle Maintenence,,,Payment,5622,,220.00
,,Being the amount paid towards company bike petrol charges KA 22 FT 3248 bill enclosed,,,,,,
05-05-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,5972,,150.00
,,Being the amount paid towards GSFL stock  loading charges - 05.000 mts @ Rs.30/-,,,,,,
05-05-2020,Dr,Bgm FACT Gh Expenses,,,Payment,5973,,2850.00
,,Being the amount paid towards FACT stock loading charges 95.000 mts @ 30/-,,,,,,
05-05-2020,Dr,Bgm Postage & Telegram Expenses,,,Payment,5974,,50.00
,,Being amount paid t/w courier charges bill enclosed,,,,,,
05-05-2020,Dr,Bgm Vehicle Maintenence,,,Payment,5975,,300.00
,,Being the amount paid towards company bike petrol charges KA 22 FT 3248 bill enclosed,,,,,,
06-05-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,834,50000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
06-05-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,6157,,300.00
,,Being the amount paid towards GSFL stock  loading charges - 10.000 mts @ Rs.30/-,,,,,,
06-05-2020,Dr,Bgm FACT Gh Expenses,,,Payment,6158,,1890.00
,,Being the amount paid towards FACT stock loading charges 63.000 mts @ 30/-,,,,,,
06-05-2020,Dr,BGM FCI GH Expense,,,Payment,6159,,9000.00
,,Being the amount paid towards rice  operation 500* 18 pics,,,,,,
06-05-2020,Dr,Bgm Godown Maintenence Wages,,,Payment,6160,,2000.00
,,Being the amount paid t/w godowns cleaning charges for the month of april-2020,,,,,,
07-05-2020,Dr,Bgm FACT Gh Expenses,,,Payment,6384,,2700.00
,,Being the amount paid towards FACT stock loading charges 90.000 mts @ 30/-,,,,,,
08-05-2020,Dr,Bgm FACT Gh Expenses,,,Payment,6916,,1350.00
,,Being the amount paid towards FACT stock loading charges 45.000 mts @ 30/-,,,,,,
08-05-2020,Dr,Bgm Fact Stand Expense,,,Payment,6917,,600.00
,,Being the amount paid towards Fact stock rebagging charges 60 bags @ 10/-,,,,,,
08-05-2020,Dr,Bgm Fact Ltpt Payable 20-21,,,Payment,6918,,2700.00
,,Being the balance amt paid towards FL No. 50047,,,,,,
09-05-2020,Dr,Bgm FACT Gh Expenses,,,Payment,7075,,840.00
,,Being the amount paid towards FACT stock loading charges 28.000 mts @ 30/-,,,,,,
09-05-2020,Dr,Bgm Fact Ltpt Charges,,,Payment,7076,,1220.00
,,Being Ltpt charges payable for 29.000 mts,,,,,,
09-05-2020,Dr,Bgm Labour Welfare Expenses,,,Payment,7077,,400.00
,,Being amount paid t/w  fci labours welafair charges,,,,,,
09-05-2020,Dr,Bgm Pooja Expenses,,,Payment,7078,,130.00
,,Being the amount paid towards Pooja expense,,,,,,
09-05-2020,Dr,Bgm Vehicle Maintenence,,,Payment,7079,,370.00
,,Being the amount paid towards company bike petrol charges KA 22 FT 3248 bill enclosed,,,,,,
09-05-2020,Cr,Bgm Misc.Income,,,Receipt,909,1650.00,
,,Being amount Recvd from universal agro hardware dealers invoice Dt.29.02.2020 (10*69),,,,,,
11-05-2020,Dr,Bgm FACT Gh Expenses,,,Payment,7309,,1350.00
,,Being the amount paid towards FACT stock loading charges 45.000 mts @ 30/-,,,,,,
11-05-2020,Dr,Bgm Fact Stand Expense,,,Payment,7310,,300.00
,,Being the amount paid towards Fact stock rebagging charges 30 bags @ 10/-,,,,,,
11-05-2020,Dr,Bgm Labour Welfare Expenses,,,Payment,7311,,250.00
,,Being amount paid t/w  fci labours welafair charges,,,,,,
11-05-2020,Dr,Bgm Postage & Telegram Expenses,,,Payment,7312,,25.00
,,Being amount paid t/w courier charges bill enclosed,,,,,,
12-05-2020,Dr,Bgm FACT Gh Expenses,,,Payment,7565,,150.00
,,Being the amount paid towards FACT stock loading charges 05.000 mts @ 30/-,,,,,,
13-05-2020,Dr,Bgm FACT Gh Expenses,,,Payment,7840,,2610.00
,,Being the amount paid towards FACT stock loading charges 87.000 mts @ 30/-,,,,,,
13-05-2020,Dr,Bgm Vehicle Maintenence,,,Payment,7841,,590.00
,,Being the amount paid towards company bike petrol charges KA 22 FT 3248 bill enclosed,,,,,,
13-05-2020,Dr,Bgm Printing & Stationery,,,Payment,7842,,460.00
,,Being amount paid t/w Office printer Cartridge refilling charges as per bill enclosed,,,,,,
14-05-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,8148,,300.00
,,Being the amount paid towards GSFL stock  loading charges - 10.000 mts @ Rs.30/-,,,,,,
14-05-2020,Dr,Bgm FACT Gh Expenses,,,Payment,8149,,450.00
,,Being the amount paid towards FACT stock loading charges 15.000 mts @ 30/-,,,,,,
14-05-2020,Dr,Bgm Printing & Stationery,,,Payment,8150,,413.00
,,Being amount paid t/w Office printer Cartridge refilling charges as per bill enclosed,,,,,,
14-05-2020,Dr,Bgm Tele Phone Expenses,,,Payment,8151,,1530.00
,,Being amount paid t/w Airtel Internet Modem charges for 3 moths,,,,,,
15-05-2020,Dr,Bgm FACT Gh Expenses,,,Payment,8301,,1650.00
,,Being the amount paid towards FACT stock loading charges 55.000 mts @ 30/-,,,,,,
15-05-2020,Dr,Bgm Fact Ltpt Payable 19-20,,,Payment,8302,,1320.00
,,Being amount paid t/w LTPT Charges Fl No.50080,,,,,,
15-05-2020,Dr,Bgm Labour Welfare Expenses,,,Payment,8303,,250.00
,,Being amount paid t/w  fci labours welafair charges,,,,,,
16-05-2020,Cr,Happay Card BGM (Umesh Nandi)-146523/173006,,,Receipt,1052,50000.00,
,,Being the Cash Withdrawn through  happay card (Mr.Umesh Nandi) for BGM Branch exp,,,,,,
16-05-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,8705,,300.00
,,Being the amount paid towards GSFL stock  loading charges - 10.000 mts @ Rs.30/-,,,,,,
16-05-2020,Dr,Bgm FACT Gh Expenses,,,Payment,8706,,2310.00
,,Being the amount paid towards FACT stock loading charges 77.000 mts @ 30/-,,,,,,
16-05-2020,Dr,BGM FCI GH Expense,,,Payment,8707,,3258.00
,,Being the amount paid towards rice  operation 2036 bags @ Rs.1.60/,,,,,,
16-05-2020,Dr,Bgm Godown Maintenence,,,Payment,8708,,11000.00
,,Being the amount paid towards rice  operation 22 pics  @ Rs.500/-,,,,,,
16-05-2020,Dr,Bgm Fact Ltpt Payable 19-20,,,Payment,8709,,700.00
,,Being amount paid t/w LTPT Charges Fl No.50040,,,,,,
16-05-2020,Dr,Bgm Postage & Telegram Expenses,,,Payment,8710,,130.00
,,Being amount paid t/w courier charges bill enclosed,,,,,,
16-05-2020,Dr,Bgm Pooja Expenses,,,Payment,8711,,130.00
,,Being the amount paid towards Pooja expense,,,,,,
16-05-2020,Cr,Bgm Misc.Income,,,Receipt,1073,2200.00,
,,Being amount Recvd from fact sorage bill from mahaveer traders INV date 28.02.2020  Dispatch dt.13.05.2020.,,,,,,
18-05-2020,Dr,Bgm FACT Gh Expenses,,,Payment,9216,,690.00
,,Being the amount paid towards FACT stock loading charges 23.000 mts @ 30/-,,,,,,
18-05-2020,Dr,BGM FCI GH Expense,,,Payment,9217,,8469.00
,,Being the amount paid towards rice  operation 5293 bags   @ Rs.1.60/-,,,,,,
18-05-2020,Dr,Bgm Labour Welfare Expenses,,,Payment,9218,,200.00
,,Being amount paid t/w  fci labours welafair charges,,,,,,
19-05-2020,Dr,Bgm FACT Gh Expenses,,,Payment,9523,,2100.00
,,Being the amount paid towards FACT stock loading charges 70.000 mts @ 30/-,,,,,,
19-05-2020,Dr,Bgm Fact Stand Expense,,,Payment,9524,,2180.00
,,Being the amount paid towards Fact stock rebagging charges 218.000 bags @ 10/-,,,,,,
19-05-2020,Dr,BGM FCI GH Expense,,,Payment,9525,,2109.00
,,Being the amount paid towards rice  operation 1318 bags   @ Rs.1.60/-,,,,,,
19-05-2020,Dr,Bgm Vehicle Maintenence,,,Payment,9526,,370.00
,,Being the amount paid towards company bike petrol charges KA 22 FT 3248 bill enclosed,,,,,,
20-05-2020,Dr,Bgm FACT Gh Expenses,,,Payment,9893,,1710.00
,,Being the amount paid towards FACT stock loading charges 57.000 mts @ 30/-,,,,,,
20-05-2020,Dr,BGM FCI GH Expense,,,Payment,9894,,2150.00
,,Being the amount paid towards rice  operation 1344 bags   @ Rs.1.60/-,,,,,,
20-05-2020,Dr,Bgm Labour Welfare Expenses,,,Payment,9895,,350.00
,,Being amount paid t/w  fci labours welafair charges,,,,,,
20-05-2020,Dr,Bgm Postage & Telegram Expenses,,,Payment,9896,,120.00
,,Being amount paid t/w courier charges bill enclosed,,,,,,
20-05-2020,Dr,Bgm Godown Maintenence Wages,,,Payment,9897,,6000.00
,,Being the amount paid towards fci godown CL salary for the month of april-2020,,,,,,
20-05-2020,Dr,Bgm Godown Maintenence Wages,,,Payment,9898,,6000.00
,,Being the amount paid towards fci godown CL salary for the month of april-2020,,,,,,
20-05-2020,Dr,Bgm Godown Maintenence Wages,,,Payment,9899,,6000.00
,,Being the amount paid towards fci godown CL salary for the month of april-2020,,,,,,
20-05-2020,Dr,Bgm Godown Maintenence Wages,,,Payment,9900,,4000.00
,,Being the amount paid towards fci godown CL salary for the month of april-2020,,,,,,
20-05-2020,Dr,Bgm Godown Maintenence Wages,,,Payment,9901,,3500.00
,,Being the amount paid towards fci godown CL salary for the month of april-2020,,,,,,
20-05-2020,Dr,Bgm Godown Maintenence Wages,,,Payment,9902,,3500.00
,,Being the amount paid towards fci godown CL salary for the month of april-2020,,,,,,
20-05-2020,Dr,Bgm Godown Maintenence Wages,,,Payment,9903,,3500.00
,,Being the amount paid towards fci godown CL salary for the month of april-2020,,,,,,
20-05-2020,Dr,Bgm Godown Maintenence Wages,,,Payment,9904,,3500.00
,,Being the amount paid t/w godowns cleaning charges for the month of april-2020,,,,,,
20-05-2020,Dr,Bgm Godown Maintenence Wages,,,Payment,9905,,3500.00
,,Being the amount paid towards fci godown CL salary for the month of april-2020,,,,,,
20-05-2020,Dr,Bgm Godown Maintenence Wages,,,Payment,9906,,3500.00
,,Being the amount paid t/w godowns cleaning charges for the month of april-2020,,,,,,
21-05-2020,Dr,Bgm Greenstar Tpt Payable 20-21,,,Payment,10151,,4000.00
,,Being the advance freight amount payable towards FL No:40328,,,,,,
21-05-2020,Dr,BGM - Green Star Gh Expenses,,,Payment,10152,,450.00
,,Being the amount paid towards GSFL stock  loading charges - 15.000 mts @ Rs.30/-,,,,,,
21-05-2020,Dr,Bgm FACT Gh Expenses,,,Payment,10153,,1200.00
,,Being the amount paid towards FACT stock loading charges 40.000 mts @ 30/-,,,,,,
21-05-2020,Dr,Bgm Fact Stand Expense,,,Payment,10154,,340.00
,,Being the amount paid towards Fact stock rebagging charges 34.000 bags @ 10/-,,,,,,
21-05-2020,Dr,Bgm Postage & Telegram Expenses,,,Payment,10155,,40.00
,,Being amount paid t/w courier charges bill enclosed,,,,,,
