PolicyID,Line,Construction,TIV_2012
119736,Residential,Masonry,792148.9
448094,Residential,Masonry,1438163.57
206893,Residential,Wood,192476.78
333743,Residential,Wood,86854.48
172534,Residential,Wood,246144.49
785275,Residential,Masonry,884419.17
995932,Commercial,Reinforced Concrete,20610000
223488,Residential,Wood,348374.25
433512,Residential,Wood,265821.57
142071,Residential,Masonry,1010842.56
253816,Residential,Masonry,1117791.48
894922,Residential,Wood,33952.19
422834,Residential,Wood,66755.39
582721,Residential,Wood,42826.99
842700,Residential,Wood,50656.8
874333,Residential,Wood,67905.07
580146,Residential,Wood,66938.9
456149,Residential,Wood,86421.04
767862,Residential,Wood,73798.5
353022,Residential,Wood,62467.29
367814,Residential,Wood,42727.74
671392,Commercial,Reinforced Concrete,11700000
772887,Residential,Masonry,2099127.76
983122,Residential,Wood,211372.57
934215,Residential,Wood,157171.16
385951,Residential,Wood,16948.72
716332,Residential,Wood,101758.43
751262,Residential,Wood,63592.88
633663,Residential,Wood,662.18
105851,Residential,Wood,177176.38
710400,Residential,Wood,1861.41
703001,Residential,Wood,101692.86
352792,Residential,Masonry,507164.19
717603,Residential,Wood,28637.17
937659,Residential,Wood,10880.22
294022,Residential,Wood,69357.78
410500,Residential,Wood,12737.89
524433,Residential,Wood,199030.29
779298,Residential,Masonry,1772984.1
491831,Residential,Wood,4438.05
814637,Residential,Wood,6095.72
737515,Residential,Wood,58106.58
222653,Residential,Wood,18969.79
788543,Residential,Wood,261435.18
691681,Residential,Wood,93674.34
368807,Residential,Wood,12333.03
174002,Residential,Wood,239134.51
198760,Residential,Wood,86637.86
831395,Residential,Wood,98147.86
305698,Residential,Wood,30658.59
515722,Residential,Wood,11551.12
415582,Residential,Wood,345894.66
783533,Residential,Wood,138228.8
640802,Residential,Wood,177339.74
403866,Residential,Wood,95132.8
828788,Residential,Wood,145139.65
751490,Residential,Wood,114919.58
972562,Residential,Wood,183015.09
367541,Residential,Wood,88218.85
481360,Residential,Wood,85911
920232,Residential,Wood,168443.97
727659,Residential,Wood,485816.61
471817,Residential,Wood,414565.56
983043,Residential,Wood,129635.53
578286,Residential,Wood,120345.61
347276,Residential,Wood,3939.13
477786,Commercial,Reinforced Masonry,3057739.39
265907,Residential,Wood,118401.07
107560,Residential,Masonry,1487255.23
908183,Residential,Wood,11825.56
356024,Residential,Wood,13988.5
575299,Residential,Wood,230328.99
790478,Residential,Wood,63053.72
801776,Residential,Wood,488965.65
291781,Residential,Masonry,955908.09
537286,Residential,Masonry,1455184.42
289305,Residential,Wood,164978.1
697409,Residential,Wood,77678.46
633944,Residential,Wood,19501.76
963511,Residential,Wood,33250.37
729649,Residential,Masonry,626142.46
862584,Residential,Wood,37291.11
371891,Residential,Wood,49526.38
785595,Residential,Wood,53762.62
567696,Residential,Wood,16798.29
219025,Residential,Wood,176189.89
447216,Residential,Wood,4424.48
305141,Residential,Wood,4525.86
625575,Residential,Wood,27375.62
262109,Residential,Wood,24840.49
228457,Residential,Masonry,889825.76
622799,Residential,Wood,438049.26
233271,Commercial,Reinforced Masonry,1728721.59
932950,Residential,Wood,4782.1
641952,Commercial,Reinforced Masonry,2708463.63
796260,Residential,Masonry,1296439.3
301822,Commercial,Reinforced Masonry,3181868.99
559927,Residential,Wood,255975.89
224400,Residential,Masonry,1147247.71
123936,Commercial,Reinforced Masonry,2837762.3
333818,Residential,Masonry,696809.59
254323,Residential,Masonry,1552594.58
247444,Residential,Wood,13521.83
882598,Residential,Masonry,424087.24
386918,Residential,Wood,4238.41
497337,Residential,Wood,57802.5
